plot_id,species,value,rel_cover_stratum,stratum,stratum_cover,association
37,populus angustifolia,3,14.29,tree,21,Alnus incana / Cornus sericea Wet Shrubland
38,mesic shrub,73.5,73.5,tree,,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,populus angustifolia,30,37.5,tree,80,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,picea pungens,25,31.25,tree,80,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,cornus sericea ssp. sericea,20,20,shrub,100,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,alnus incana ssp. tenuifolia,16,16,shrub,100,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,acer glabrum var. glabrum,15,18.75,tree,80,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,lonicera involucrata,15,15,shrub,100,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,abies lasiocarpa,10,12.5,tree,80,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
38,ribes inerme,10,10,shrub,100,Pinus edulis - Juniperus osteosperma / Mixed Shrubs Talus Woodland
39,alnus incana ssp. tenuifolia,30,75,shrub,40,Alnus incana / Calamagrostis canadensis Wet Shrubland
39,populus tremuloides,30,60,tree,50,Alnus incana / Calamagrostis canadensis Wet Shrubland
39,calamagrostis canadensis,20,66.67,herbaceous,30,Alnus incana / Calamagrostis canadensis Wet Shrubland
39,pinus contorta var. latifolia,20,40,tree,50,Alnus incana / Calamagrostis canadensis Wet Shrubland
39,mesic shrub,15,37.5,tree,,Alnus incana / Calamagrostis canadensis Wet Shrubland
39,mesic graminoid,10,33.335,tree,,Alnus incana / Calamagrostis canadensis Wet Shrubland
40,mesic shrub,68,73.915,shrub,,Salix bebbiana Wet Shrubland
40,salix bebbiana,48,52.17,shrub,92,Salix bebbiana Wet Shrubland
40,salix lasiandra var. caudata,31,33.7,shrub,92,Salix bebbiana Wet Shrubland
40,salix irrorata,13,14.13,shrub,92,Salix bebbiana Wet Shrubland
41,mesic shrub,55,78.59,tree,,Picea pungens / Alnus incana Riparian Woodland
41,mesic forb,50,62.5,tree,,Picea pungens / Alnus incana Riparian Woodland
41,alnus incana ssp. tenuifolia,30,42.86,shrub,70,Picea pungens / Alnus incana Riparian Woodland
41,picea pungens,30,100,tree,30,Picea pungens / Alnus incana Riparian Woodland
41,rudbeckia laciniata var. ampla,20,25,herbaceous,80,Picea pungens / Alnus incana Riparian Woodland
41,mesic graminoid,15,18.75,tree,,Picea pungens / Alnus incana Riparian Woodland
41,equisetum arvense,10,12.5,herbaceous,80,Picea pungens / Alnus incana Riparian Woodland
41,lonicera involucrata,10,14.29,shrub,70,Picea pungens / Alnus incana Riparian Woodland
41,phleum pratense,10,12.5,herbaceous,80,Picea pungens / Alnus incana Riparian Woodland
41,poa pratensis,10,12.5,herbaceous,80,Picea pungens / Alnus incana Riparian Woodland
41,ribes inerme,10,14.29,shrub,70,Picea pungens / Alnus incana Riparian Woodland
41,salix boothii,10,14.29,shrub,70,Picea pungens / Alnus incana Riparian Woodland
41,salix drummondiana,10,14.29,shrub,70,Picea pungens / Alnus incana Riparian Woodland
43,ribes montigenum,27,100,shrub,27,Picea engelmannii / Ribes montigenum Forest
43,mesic forb,23.5,73.44,tree,,Picea engelmannii / Ribes montigenum Forest
43,oxypolis fendleri,17,53.12,herbaceous,32,Picea engelmannii / Ribes montigenum Forest
43,picea engelmannii var. engelmannii,17,47.22,tree,36,Picea engelmannii / Ribes montigenum Forest
43,mesic shrub,13.5,50,tree,,Picea engelmannii / Ribes montigenum Forest
43,abies lasiocarpa,10,27.78,tree,36,Picea engelmannii / Ribes montigenum Forest
44,deschampsia cespitosa,70,55.12,herbaceous,127,Deschampsia cespitosa - Ligusticum tenuifolium Wet Meadow
44,mesic graminoid,60,47.24,herbaceous,,Deschampsia cespitosa - Ligusticum tenuifolium Wet Meadow
44,mesic forb,17,13.39,herbaceous,,Deschampsia cespitosa - Ligusticum tenuifolium Wet Meadow
44,carex microptera,15,11.81,herbaceous,127,Deschampsia cespitosa - Ligusticum tenuifolium Wet Meadow
44,carex spp.,15,11.81,herbaceous,,Deschampsia cespitosa - Ligusticum tenuifolium Wet Meadow
44,phleum alpinum,10,7.87,herbaceous,127,Deschampsia cespitosa - Ligusticum tenuifolium Wet Meadow
44,achillea millefolium,1,0.79,herbaceous,127,Deschampsia cespitosa - Ligusticum tenuifolium Wet Meadow
45,picea engelmannii var. engelmannii,30,100,tree,30,Picea engelmannii / Hypnum revolutum Forest
45,mesic shrub,22.5,75,tree,,Picea engelmannii / Hypnum revolutum Forest
45,carex aquatilis,20,68.97,herbaceous,29,Picea engelmannii / Hypnum revolutum Forest
45,carex spp.,20,68.97,tree,,Picea engelmannii / Hypnum revolutum Forest
45,mesic graminoid,15,51.725,tree,,Picea engelmannii / Hypnum revolutum Forest
45,salix brachycarpa var. brachycarpa,15,50,shrub,30,Picea engelmannii / Hypnum revolutum Forest
45,betula glandulosa,10,33.33,shrub,30,Picea engelmannii / Hypnum revolutum Forest
